="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="pace_est1",="pace_est2",="pace_est3",="grimage2_est1",="grimage2_est2",="grimage2_est3"
="8615",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="8732",="-0.0291**",="-0.0290**",="-0.0281**",="-0.558",="-0.542",="-0.512"
="",="(0.00795)",="(0.00790)",="(0.00794)",="(0.493)",="(0.488)",="(0.514)"
="9054",="-0.0286**",="-0.0288**",="-0.0292**",="0.150",="0.154",="0.117"
="",="(0.0107)",="(0.0107)",="(0.0105)",="(0.355)",="(0.351)",="(0.360)"
="9109",="-0.00777",="-0.00799",="-0.00774",="0.0435",="0.0260",="0.0470"
="",="(0.0106)",="(0.0105)",="(0.0110)",="(0.465)",="(0.466)",="(0.490)"
="9213",="-0.0523**",="-0.0530**",="-0.0522**",="-0.404",="-0.408",="-0.402"
="",="(0.0122)",="(0.0121)",="(0.0124)",="(0.491)",="(0.498)",="(0.515)"
="11277",="0.0405",="0.0402",="0.0421",="0.412",="0.410",="0.489"
="",="(0.0428)",="(0.0434)",="(0.0433)",="(0.833)",="(0.861)",="(0.861)"
="13762",="-0.0469*",="-0.0470*",="-0.0466*",="-0.582",="-0.630",="-0.581"
="",="(0.0210)",="(0.0211)",="(0.0219)",="(0.967)",="(0.977)",="(0.972)"
="leukocytes_ic",="-0.680**",="-0.680**",="-0.684**",="-26.43**",="-26.47**",="-26.66**"
="",="(0.0357)",="(0.0357)",="(0.0355)",="(0.857)",="(0.862)",="(0.869)"
="age",="0.000754**",="0.000770**",="0.000811**",="-0.0490**",="-0.0490**",="-0.0465**"
="",="(0.000278)",="(0.000277)",="(0.000265)",="(0.00856)",="(0.00881)",="(0.00877)"
="White",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Black",="0.0831**",="0.0829**",="0.0846**",="2.443**",="2.418**",="2.517**"
="",="(0.0121)",="(0.0120)",="(0.0122)",="(0.544)",="(0.538)",="(0.550)"
="Other",="0.0532**",="0.0524**",="0.0548**",="1.389**",="1.346**",="1.474**"
="",="(0.00906)",="(0.00901)",="(0.00949)",="(0.493)",="(0.461)",="(0.541)"
="MALE",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="FEMALE",="0.0311**",="0.0310**",="0.0317**",="-0.225",="-0.217",="-0.192"
="",="(0.00617)",="(0.00627)",="(0.00612)",="(0.230)",="(0.225)",="(0.236)"
="HS or less than HS",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Some college",="-0.0229+",="-0.0236+",="-0.0244*",="-0.904*",="-0.898*",="-0.985*"
="",="(0.0120)",="(0.0120)",="(0.0122)",="(0.441)",="(0.431)",="(0.440)"
="College or higher",="-0.0592**",="-0.0603**",="-0.0618**",="-2.789**",="-2.815**",="-2.918**"
="",="(0.00975)",="(0.00963)",="(0.00978)",="(0.452)",="(0.440)",="(0.446)"
="Never-married",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Married or living with a partner",="-0.00575",="-0.00582",="-0.00586",="0.585",="0.573",="0.589"
="",="(0.0126)",="(0.0125)",="(0.0125)",="(0.365)",="(0.367)",="(0.371)"
="Widowed/Divorced/Separated",="0.0199",="0.0192",="0.0209",="1.875**",="1.877**",="1.928**"
="",="(0.0127)",="(0.0124)",="(0.0126)",="(0.458)",="(0.473)",="(0.475)"
="Network Size (All)=0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Network Size (All)=1",="0.0141",="0.0139",="0.00547",="0.271",="0.239",="-0.130"
="",="(0.0533)",="(0.0535)",="(0.0541)",="(1.090)",="(1.082)",="(1.136)"
="Network Size (All)=2",="0.00806",="0.0109",="0.00117",="0.761",="0.822",="0.453"
="",="(0.0569)",="(0.0558)",="(0.0576)",="(1.080)",="(1.058)",="(1.072)"
="Network Size (All)=3",="0.0112",="0.0104",="0.00419",="0.535",="0.571",="0.221"
="",="(0.0510)",="(0.0512)",="(0.0517)",="(0.962)",="(0.968)",="(0.996)"
="Network Size (All)=4",="0.0139",="0.0123",="0.00902",="0.756",="0.749",="0.554"
="",="(0.0502)",="(0.0500)",="(0.0511)",="(0.968)",="(0.974)",="(0.995)"
="Network Size (All)=5",="-0.00772",="-0.00693",="-0.0123",="-0.559",="-0.578",="-0.752"
="",="(0.0514)",="(0.0516)",="(0.0521)",="(0.910)",="(0.910)",="(0.925)"
="Network Size (All)=6",="-0.00506",="-0.00550",="-0.0107",="0.156",="0.0962",="-0.0912"
="",="(0.0493)",="(0.0494)",="(0.0495)",="(0.990)",="(0.979)",="(1.033)"
="Network Size (All)=7",="0.0191",="0.0175",="0.0151",="-0.220",="-0.262",="-0.387"
="",="(0.0504)",="(0.0507)",="(0.0509)",="(0.852)",="(0.853)",="(0.879)"
="Network Size (All)=8",="-0.0329",="-0.0352",="-0.0377",="-1.002",="-1.115",="-1.208"
="",="(0.0527)",="(0.0526)",="(0.0530)",="(1.043)",="(1.044)",="(1.035)"
="Network Size (All)=9",="0.000305",="-0.00106",="-0.00475",="-0.00338",="-0.206",="-0.219"
="",="(0.0519)",="(0.0523)",="(0.0522)",="(0.955)",="(0.964)",="(0.964)"
="Network Size (All)=10",="-0.0314",="-0.0329",="-0.0368",="-0.954",="-1.092",="-1.183"
="",="(0.0465)",="(0.0470)",="(0.0469)",="(0.914)",="(0.891)",="(0.931)"
="Network Size (All)=11",="-0.00831",="-0.00800",="-0.0131",="-0.914",="-0.950",="-1.115"
="",="(0.0575)",="(0.0575)",="(0.0583)",="(1.008)",="(1.013)",="(1.054)"
="Network Size (All)=12",="-0.0499",="-0.0503",="-0.0543",="-1.203",="-1.193",="-1.381"
="",="(0.0504)",="(0.0508)",="(0.0508)",="(1.055)",="(1.043)",="(1.063)"
="Network Size (All)=13",="0.0178",="0.0171",="0.0156",="0.00571",="-0.0265",="-0.0753"
="",="(0.0545)",="(0.0548)",="(0.0547)",="(1.648)",="(1.659)",="(1.654)"
="Network Size (All)=14",="0.00286",="0.00183",="-0.00138",="-0.276",="-0.408",="-0.464"
="",="(0.0586)",="(0.0591)",="(0.0593)",="(1.306)",="(1.333)",="(1.314)"
="Network Size (All)=15",="0.114",="0.113",="0.106",="1.735",="1.528",="1.408"
="",="(0.0957)",="(0.0944)",="(0.0984)",="(1.903)",="(1.823)",="(2.029)"
="Network Size (All)=16",="-0.00568",="-0.0111",="-0.0144",="0.0664",="-0.439",="-0.323"
="",="(0.0851)",="(0.0857)",="(0.0846)",="(1.494)",="(1.499)",="(1.517)"
="Network Size (All)=18",="0.0682",="0.0696",="0.0701",="1.029",="1.254",="1.189"
="",="(0.0608)",="(0.0604)",="(0.0621)",="(2.285)",="(2.424)",="(2.571)"
="Network Size (All)=19",="0.0143",="0.0154",="0.0147",="-3.756**",="-3.744**",="-3.721**"
="",="(0.0497)",="(0.0498)",="(0.0498)",="(0.927)",="(0.943)",="(0.925)"
="Network Size (All)=20",="0.0305",="0.0210",="0.0282",="0.697",="-0.109",="0.611"
="",="(0.117)",="(0.118)",="(0.116)",="(2.302)",="(2.365)",="(2.233)"
="Network Size (All)=22",="0.222**",="0.220**",="0.211**",="-1.620+",="-1.620+",="-2.124*"
="",="(0.0463)",="(0.0464)",="(0.0474)",="(0.939)",="(0.933)",="(0.969)"
="Network Size (All)=24",="-0.0183",="-0.0188",="-0.0333",="-1.513",="-1.512",="-2.217*"
="",="(0.0469)",="(0.0472)",="(0.0484)",="(1.012)",="(1.003)",="(1.108)"
="Network Size (All)=25",="0.0288",="0.0348",="0.0265",="-0.645",="-0.694",="-0.675"
="",="(0.0521)",="(0.0542)",="(0.0529)",="(1.026)",="(0.984)",="(1.044)"
="% Negative Ties",="0.0796**",="",="",="4.040**",="",=""
="",="(0.0203)",="",="",="(1.037)",="",=""
="0-",="",="0",="",="",="0",=""
="",="",="(.)",="",="",="(.)",=""
=".01-",="",="0.0142",="",="",="1.016**",=""
="",="",="(0.00934)",="",="",="(0.261)",=""
=".25-",="",="0.0356**",="",="",="1.091*",=""
="",="",="(0.0133)",="",="",="(0.411)",=""
=".5-",="",="0.0142",="",="",="1.324",=""
="",="",="(0.0213)",="",="",="(0.905)",=""
="1-",="",="0.0831*",="",="",="4.978**",=""
="",="",="(0.0325)",="",="",="(1.576)",=""
="Mean Frequency of Negative Interactions",="",="",="0.0149*",="",="",="0.702**"
="",="",="",="(0.00631)",="",="",="(0.246)"
="Constant",="1.647**",="1.647**",="1.647**",="20.22**",="20.27**",="20.24**"
="",="(0.0595)",="(0.0596)",="(0.0597)",="(1.280)",="(1.283)",="(1.308)"
="Observations",="2345",="2345",="2345",="2345",="2345",="2345"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
